"","Name","ID","NROW"
"731","Baccharis tandilensis",731,0
"732","Blumenbachia insignis",732,141
"733","Carduus acanthoides",733,27772
"734","Eryngium horridum",734,481
"735","Eryngium stenophyllum",735,13
"736","Eupatorium squarrulosum",736,0
"737","Eupatorium subhastatum",737,0
"738","Eupatorium tenacetifolium",738,0
"739","Gelasine azurea",739,0
"740","Glandularia dissecta",740,0
"741","Gymnocalycium reductum",741,38
"742","Habranthus andersoni",742,0
"743","Habranthus gracilifolius",743,0
"744","Hypochaeris rosengurtii",744,0
"745","Hysterionica pinifolia",745,0
"746","Lathyrus pubescens",746,153
"747","Oxalis articulata",747,14609
"748","Oxalis cordobensis",748,0
"749","Senecio arechavaletae",749,6
"750","Senecio bravensis",750,2
"751","Senecio grisebachii",751,259
"752","Senecio madagascariensis",752,14892
"753","Senecio selloi",753,196
"754","Sisyrinchium iridifolium",754,0
"755","Solidago chilensis",755,1593
"756","Sommerfeltia spinulosa",756,114
"757","Stevia satureiifolia",757,0
"758","Trixis stricta",758,0
"759","Verbena intermedia",759,223
"760","Vernonia echioides",760,108
"761","Wigginsia tephracantha",761,0
"762","Gomphrena perennis",762,361
"763","Eryngium floribundum",763,154
"764","Eupatorium bupleurifolium",764,0
"765","Eupatorium macrocephalum",765,0
"766","Gerardia genistifolia",766,0
"767","Hypericum connatum",767,347
"768","Hypochaeris pampasica",768,63
"769","Oenothera indecora",769,542
"770","Silene gallica",770,30313
"771","Echium plantagineum",771,60945
"772","Abutilon terminale",772,84
"773","Discaria longispina",773,0
"774","Lathyrus crassipes",774,75
"775","Oxypetalum solanoides",775,807
